Picture URL,Amount of likes,Author name,Amount of subscribers,Post tags,Post date,Download URL,Marker
https://www.instagram.com/p/CN0l1cjrERo/,1 686,osmiart,36 994,"['#селфи', '#тикток', '#osmiart']",2021-04-18T21:04:43.000Z,,0
https://www.instagram.com/p/CN1opuxMAQj/,3 646,parii_mira,,"['#love', '#instagood', '#me', '#армения', '#cute', '#follow', '#followme', '#photooftheday', '#happy', '#beautiful', '#selfie', '#picoftheday', '#like4like', '#instagramanet', '#russia', '#инстаграм', '#россия', '#москва', '#я', '#улыбка', '#селфи', '#красота', '#природа', '#друзья', '#дружба', '#лайки', '#фото', '#любовь', '#девушки', '#жизнь']",2021-04-19T06:48:34.000Z,,0
https://www.instagram.com/p/CNz9sw-py03/,159,gribnatusik2510,6 548,"['#весна', '#воскресенье', '#тепло', '#природа', '#солнце', '#жара', '#любимыймуж', '#счастливывместе', '#счастьеесть', '#любовь', '#селфи', '#семья', '#spring', '#family', '#love', '#happy', '#selfie', '#april', '#mood', '#instalike', '#instagram', '#instagood', '#like4like']",2021-04-18T15:14:00.000Z,,0
https://www.instagram.com/p/CN2XWAZjILD/,1 703,foto_ideyka,17 187,"['#фотоселфи', '#селфи', '#селфифото', '#фотка', '#фоткинааву', '#фотосдрузьями', '#друзья']",2021-04-19T13:36:34.000Z,,0
https://www.instagram.com/p/CN5Jb3xHPVh/,185,elena_recep,6 395,"['#безфильтров', '#средиземноеморе', '#небо', '#закат', '#селфи', '#selfie', '#удивительное', '#восхитительное', '#счастьеесть', '#жизньхороша']",2021-04-20T15:32:45.000Z,,0
https://www.instagram.com/p/CN1rQ27sci0/,478,tortofea_valentina,,"['#aврaл', '#уфаторт', '#тортназаказуфа', '#тортназаказиглино', '#тортназаказшакша', '#тортнаюбилей', '#тришоколада', '#торттришоколадауфа', '#иглино', '#жителииглино', '#иглинцы', '#иглиномама', '#чайхочeтся', '#иглиноуфа', '#уфамама', '#лучшеедетям', '#подарки', '#девушкиуфы', '#селфи']",2021-04-19T07:11:23.000Z,,0
https://www.instagram.com/p/CN1cYNgn7ab/,533,elena_recep,6 395,"['#селфи', '#selfie', '#хорошеенастроение', '#счастьеесть', '#жизньхороша']",2021-04-19T05:01:19.000Z,,0
https://www.instagram.com/p/CNzjBMHnCIj/,1 904,barbie.001_,75 019,[],2021-04-18T11:20:51.000Z,,0
https://www.instagram.com/p/CN2GEmRgEpT/,223,gentspeaker,1 502,"['#gentspeaker', '#гент', '#бельгия', '#фландрия', '#история', '#архитектура', '#старыйгород', '#искусство', '#набережная', '#синеенебо', '#мояистория', '#селфи', '#belgium', '#belgie', '#vlaanderen', '#flanders', '#gent', '#ghent', '#gand', '#history', '#architecture', '#old', '#oldtown', '#art', '#travel', '#graslei', '#me', '#selfie', '#mystory']",2021-04-19T11:05:38.000Z,,0
https://www.instagram.com/p/CN15qwRAFln/,960,selenitii,11 937,[],2021-04-19T09:17:15.000Z,,0
https://www.instagram.com/p/CN0jA_6sFrg/,177,gingercrabstick,1 745,"['#sundayvibes', '#freshtint', '#browsonfleek', '#happygirl', '#selfietime', '#naturalmakeup', '#pictureoftheday', '#me', '#instagood', '#happy', '#weekend', '#dayoff', '#выходной', '#хорошийдень', '#теплеет', '#весена', '#селфи', '#ятакая']",2021-04-18T20:40:04.000Z,,0
https://www.instagram.com/p/CN2ig_8jNjy/,1 532,nastia_agmakeup,17 288,"['#др', '#деньрождения', '#aпрель', '#цветы', '#селфи', '#приятныйдень', '#деньчудес', '#деньподаоков']",2021-04-19T15:14:11.000Z,,0
https://www.instagram.com/p/CN45vMAnu2u/,948,weirdo_3.7,24 896,"['#спб', '#питер', '#санктпетербург', '#мск', '#москва', '#барнаул', '#нск', '#челябинск', '#ярославль', '#ленинград', '#ленобласть', '#омск', '#томск', '#селфи', '#блондинка', '#блогер', '#рекламавинстаграм', '#краснодар', '#красноярск', '#взаимныелайки', '#взаимныеподписки', '#liketime', '#лайктайм', '#сочи', '#городароссии', '#финляндия', '#карелия', '#алтай']",2021-04-20T13:15:35.000Z,,0
https://www.instagram.com/p/CN0OkkfH7A4/,272,ninaaleskerova,4 860,"['#flowers', '#цветы', '#сад', '#небо', '#отдых', '#красиво', '#spring', '#весна', '#love', '#live', '#beauty', '#beautiful', '#kiz', '#güzel', '#İlkbahar', '#мир', '#world', '#selfie', '#селфи', '#прекрасное', '#девушка', '#girl', '#Fotoğraf', '#foto', '#sun', '#sunset', '#hairstyle', '#mk', '#сад', '#summer', '#sunset', '#mylove']",2021-04-18T17:41:26.000Z,,0
https://www.instagram.com/p/CN4WOlCn9FD/,,,,[],,,0
https://www.instagram.com/p/CN38LLGBcts/,116,zhurova_yuliya,1 040,"['#чита', '#забайкалье', '#мама', '#дети', '#весна', '#апрель', '#радость', '#эмоции', '#улыбки', '#селфи', '#скоролето', '#baby', '#love', '#life']",2021-04-20T04:17:38.000Z,,0
https://www.instagram.com/p/CN4pt4MnCDP/,102,art_gallery_2020__rembrandt,2 521,"['#природа', '#nature', '#travel', '#красота', '#usa', '#путешествие', '#love', '#фото', '#любовь', '#сша', '#жизнь', '#beautiful', '#я', '#селфи', '#америка', '#горы', '#photooftheday', '#путешествия', '#небо', '#инстаграм', '#лайки', '#москва', '#sunset', '#landscape', '#девушки', '#друзья', '#россия', '#инстатаг', '#улыбка', '#инстаграманет']",2021-04-20T10:55:35.000Z,,0
https://www.instagram.com/p/CN2UV16jNe8/,495,bell_andrei,9 789,"['#семья', '#девушка', '#жена', '#любовь', '#семейнаяфотосессия', '#семейнаяпара', '#саша', '#селфи', '#отношения', '#любовь', '#радость', '#супергерои⚡️']",2021-04-19T13:10:20.000Z,,0
https://www.instagram.com/p/CN45cSUgo_P/,299,lena.shuplyakova,14 962,"['#СвободуВолосамсАлерана', '#ALERANA']",2021-04-20T13:13:00.000Z,,0
https://www.instagram.com/p/CN1faM8MHUG/,1 453,msk__kg,34 227,"['#москва', '#Кыргызстан', '#СНГ', '#Казахстан', '#лучшие', '#топ', '#Россия', '#like4like', '#Best', '#photo', '#фото', '#танцы', '#boys', '#girls', '#Бишкек', '#Астана', '#Алматы', '#Караганда', '#Атырау', '#photooftheday', '#хайп', '#девушки', '#вайны', '#кыргыз', '#казахи', '#вечеринка', '#love', '#селфи', '#подписка', '#взаимныелайки']",2021-04-19T05:27:48.000Z,,0
